Date,Open,High,Low,Close,Adj Close,Volume
2024-06-13,4500.0,4520.0,4460.0,4480.0,4480.0,47763900
2024-06-14,4480.0,4480.0,4310.0,4310.0,4310.0,65046900
2024-06-19,4310.0,4390.0,4260.0,4300.0,4300.0,60373800
2024-06-20,4320.0,4410.0,4300.0,4400.0,4400.0,50579900
2024-06-21,4400.0,4610.0,4400.0,4540.0,4540.0,108982500
2024-06-24,4540.0,4600.0,4460.0,4540.0,4540.0,49112400
2024-06-25,4520.0,4530.0,4420.0,4480.0,4480.0,44861500
2024-06-26,4480.0,4530.0,4420.0,4420.0,4420.0,34063700
2024-06-27,4450.0,4610.0,4430.0,4580.0,4580.0,85462100
2024-06-28,4590.0,4740.0,4590.0,4660.0,4660.0,95384300
2024-07-01,4690.0,4720.0,4650.0,4710.0,4710.0,43250900
2024-07-02,4710.0,4730.0,4670.0,4710.0,4710.0,35142800
2024-07-03,4730.0,4740.0,4630.0,4650.0,4650.0,41531700
2024-07-04,4690.0,4770.0,4660.0,4710.0,4710.0,61435900
2024-07-05,4730.0,4780.0,4690.0,4700.0,4700.0,67585600
2024-07-08,4730.0,4740.0,4670.0,4670.0,4670.0,36004700
2024-07-09,4670.0,4870.0,4670.0,4860.0,4860.0,87456600
2024-07-10,4850.0,4900.0,4820.0,4820.0,4820.0,48700200
2024-07-11,4850.0,4880.0,4830.0,4870.0,4870.0,37573700
2024-07-12,4920.0,5125.0,4920.0,5025.0,5025.0,151520700
2024-07-15,5050.0,5075.0,4980.0,5025.0,5025.0,94794900
2024-07-16,5050.0,5050.0,4980.0,4980.0,4980.0,66371200
2024-07-17,5050.0,5075.0,5000.0,5000.0,5000.0,59615300
2024-07-18,4990.0,5125.0,4990.0,5075.0,5075.0,86127800
2024-07-19,5075.0,5100.0,5025.0,5100.0,5100.0,66907300
2024-07-22,5125.0,5150.0,5050.0,5100.0,5100.0,32378000
2024-07-23,5100.0,5125.0,5050.0,5050.0,5050.0,30554100
2024-07-24,5050.0,5100.0,5000.0,5100.0,5100.0,23442100
2024-07-25,5050.0,5075.0,4980.0,5025.0,5025.0,52463300
2024-07-26,5000.0,5075.0,4990.0,5000.0,5000.0,41982600
2024-07-29,5025.0,5050.0,5000.0,5025.0,5025.0,19854800
2024-07-30,5000.0,5000.0,4950.0,4950.0,4950.0,36234500
2024-07-31,4970.0,5025.0,4920.0,4970.0,4970.0,34106000
2024-08-01,4940.0,5075.0,4940.0,5075.0,5075.0,54207300
2024-08-02,5050.0,5150.0,5025.0,5100.0,5100.0,75959300
2024-08-05,5025.0,5050.0,4880.0,4960.0,4960.0,65485300
2024-08-06,5000.0,5075.0,4940.0,5025.0,5025.0,51827100
2024-08-07,5025.0,5050.0,4980.0,5000.0,5000.0,32547900
2024-08-08,5000.0,5100.0,4970.0,5025.0,5025.0,51493100
2024-08-09,5050.0,5200.0,5050.0,5125.0,5125.0,33031700
2024-08-12,5150.0,5150.0,5075.0,5125.0,5125.0,14296000
2024-08-13,5175.0,5200.0,5125.0,5175.0,5175.0,26196400
2024-08-14,5250.0,5375.0,5225.0,5275.0,5275.0,93112500
2024-08-15,5300.0,5325.0,5225.0,5250.0,5250.0,33034700
2024-08-16,5300.0,5350.0,5275.0,5300.0,5300.0,33604900
2024-08-19,5300.0,5450.0,5275.0,5350.0,5350.0,55661900
2024-08-20,5375.0,5500.0,5375.0,5475.0,5475.0,69978300
2024-08-21,5475.0,5550.0,5425.0,5450.0,5450.0,92703900
2024-08-22,5425.0,5425.0,5225.0,5275.0,5275.0,72626600
2024-08-23,5300.0,5500.0,5300.0,5450.0,5450.0,69905300
2024-08-26,5450.0,5550.0,5450.0,5525.0,5525.0,68435700
2024-08-27,5525.0,5550.0,5350.0,5400.0,5400.0,57135700
2024-08-28,5400.0,5425.0,5275.0,5375.0,5375.0,48476500
2024-08-29,5425.0,5425.0,5300.0,5300.0,5300.0,40749200
2024-08-30,5300.0,5400.0,5300.0,5350.0,5350.0,86718500
2024-09-02,5350.0,5400.0,5325.0,5350.0,5350.0,22988100
2024-09-03,5375.0,5400.0,5325.0,5375.0,5375.0,20288700
2024-09-04,5325.0,5375.0,5300.0,5350.0,5350.0,47278700
2024-09-05,5375.0,5450.0,5350.0,5450.0,5450.0,62221800
2024-09-06,5500.0,5675.0,5475.0,5650.0,5650.0,139365300
2024-09-09,5650.0,5750.0,5625.0,5725.0,5725.0,78827500
2024-09-10,5750.0,5775.0,5700.0,5700.0,5700.0,55033900
2024-09-11,5700.0,5750.0,5650.0,5650.0,5650.0,33792600
2024-09-12,5625.0,5650.0,5575.0,5600.0,5600.0,43318600
2024-09-13,5600.0,5650.0,5575.0,5600.0,5600.0,20763900
