Date,Open,High,Low,Close,Adj Close,Volume
2024-08-13,10250.0,10300.0,10175.0,10300.0,10300.0,55207100
2024-08-14,10300.0,10300.0,10200.0,10200.0,10200.0,47999100
2024-08-15,10200.0,10300.0,10175.0,10225.0,10225.0,33396600
2024-08-16,10300.0,10325.0,10250.0,10325.0,10325.0,40731400
2024-08-19,10325.0,10425.0,10275.0,10375.0,10375.0,51054400
2024-08-20,10325.0,10450.0,10300.0,10425.0,10425.0,60304400
2024-08-21,10500.0,10500.0,10425.0,10425.0,10425.0,84848800
2024-08-22,10350.0,10400.0,10225.0,10325.0,10325.0,56611600
2024-08-23,10325.0,10375.0,10300.0,10325.0,10325.0,46651600
2024-08-26,10275.0,10375.0,10250.0,10325.0,10325.0,35145600
2024-08-27,10275.0,10300.0,10175.0,10200.0,10200.0,60448400
2024-08-28,10300.0,10350.0,10250.0,10350.0,10350.0,38489900
2024-08-29,10500.0,10500.0,10225.0,10225.0,10225.0,53004700
2024-08-30,10325.0,10325.0,10200.0,10325.0,10325.0,158403700
2024-09-02,10375.0,10375.0,10200.0,10275.0,10275.0,72008600
2024-09-03,10325.0,10325.0,10150.0,10175.0,10175.0,50950200
2024-09-04,10150.0,10300.0,10125.0,10300.0,10300.0,44817000
2024-09-05,10350.0,10350.0,10250.0,10250.0,10250.0,39332900
2024-09-06,10225.0,10300.0,10225.0,10300.0,10300.0,31541800
2024-09-09,10300.0,10350.0,10200.0,10275.0,10275.0,36185100
2024-09-10,10350.0,10350.0,10275.0,10350.0,10350.0,55093100
2024-09-11,10425.0,10425.0,10350.0,10425.0,10425.0,64621300
2024-09-12,10450.0,10500.0,10375.0,10475.0,10475.0,70759100
2024-09-13,10400.0,10425.0,10325.0,10325.0,10325.0,44353100
