Date,Open,High,Low,Close,Adj Close,Volume
2024-08-13,151.0,153.0,150.0,153.0,153.0,6208100
2024-08-14,153.0,155.0,152.0,153.0,153.0,6308300
2024-08-15,153.0,154.0,151.0,152.0,152.0,1513200
2024-08-16,152.0,162.0,152.0,156.0,156.0,44195600
2024-08-19,156.0,161.0,156.0,157.0,157.0,15379800
2024-08-20,157.0,159.0,154.0,155.0,155.0,12585500
2024-08-21,156.0,158.0,154.0,154.0,154.0,5193600
2024-08-22,154.0,156.0,153.0,153.0,153.0,3820100
2024-08-23,154.0,156.0,152.0,152.0,152.0,6314400
2024-08-26,154.0,155.0,151.0,151.0,151.0,4833900
2024-08-27,152.0,153.0,149.0,151.0,151.0,10022200
2024-08-28,151.0,152.0,149.0,149.0,149.0,9905100
2024-08-29,150.0,150.0,147.0,148.0,148.0,10834400
2024-08-30,148.0,153.0,147.0,151.0,151.0,10678000
2024-09-02,151.0,152.0,150.0,151.0,151.0,4440300
2024-09-03,151.0,151.0,149.0,149.0,149.0,3046300
2024-09-04,149.0,151.0,147.0,149.0,149.0,3726300
2024-09-05,141.0,150.0,141.0,149.0,149.0,3766700
2024-09-06,150.0,150.0,148.0,149.0,149.0,2034900
2024-09-09,149.0,150.0,148.0,149.0,149.0,3739100
2024-09-10,149.0,151.0,149.0,149.0,149.0,4178700
2024-09-11,150.0,151.0,148.0,148.0,148.0,3695800
2024-09-12,149.0,150.0,148.0,150.0,150.0,1483600
2024-09-13,150.0,152.0,149.0,149.0,149.0,2436500
